Step,Molecular_DeepEnsemble_Ered_vbll_20250511_182942 - best_value,Molecular_DeepEnsemble_Ered_vbll_20250511_021411 - best_value,Molecular_DeepEnsemble_Ered_vbll_20250510_231726 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_20250508_155447 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_20250507_210912 - best_value,Molecular_VBLL_Ered_dense_precision_multirank_20250507_014507 - best_value
50,1.64039618,1.62464159,,1.54135178,1.54135178,1.61558066
51,1.64039618,1.62464159,,1.54135178,1.54135178,1.61558066
52,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
53,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
54,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
55,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
56,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
57,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
58,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
59,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
60,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
61,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
62,1.61558066,1.62464159,,1.54135178,1.54135178,1.54135178
63,1.61558066,1.62464159,,1.54135178,1.54135178,1.54135178
64,1.61558066,1.62464159,,1.54135178,1.54135178,1.54135178
65,1.61558066,1.62464159,,1.54135178,1.54135178,1.54135178
66,1.61558066,1.62464159,,1.54135178,1.54135178,1.54135178
67,1.61558066,1.62464159,,1.54135178,1.54135178,1.54135178
68,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
69,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
70,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
71,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
72,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
73,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
74,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
75,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
76,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
77,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
78,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
79,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
80,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
81,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
