Step,Molecular_BLOB_Ered_dense_precision_multirank_fine-tuning_20250515_014033 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_fine-tuning_20250515_014006 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_ml_trigger_20250513_082526 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_ml_trigger_20250507_014507 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_recursive_20250508_122413 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_recursive_20250508_160447 - best_value
98,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
99,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
100,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
101,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
102,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
103,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
104,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
105,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
106,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
107,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
108,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
109,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
110,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
111,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
112,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
113,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
114,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
115,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
116,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
117,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
118,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
119,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
120,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
121,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
122,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
123,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
124,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
125,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
126,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
127,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
128,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
129,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
130,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
131,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
132,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
133,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
134,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
135,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
136,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
137,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
138,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
139,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
140,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
141,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
142,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
143,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
144,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
145,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
146,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
147,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
148,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
149,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
